"Fechas","Producción interna de acero","Exportación de acero","Importación de acero","Disponibilidades de acero","Producción de cemento","Exportaciones de cemento","Importaciones de cemento","Estadísticas Generales. Consumo aparente de cemento"
"ENE 1955",NA,NA,NA,NA,282.00,NA,NA,NA
"FEB 1955",NA,NA,NA,NA,262.00,NA,NA,NA
"MAR 1955",NA,NA,NA,NA,296.00,NA,NA,NA
"ABR 1955",NA,NA,NA,NA,304.00,NA,NA,NA
"MAY 1955",NA,NA,NA,NA,326.00,NA,NA,NA
"JUN 1955",NA,NA,NA,NA,321.00,NA,NA,NA
"JUL 1955",NA,NA,NA,NA,327.00,NA,NA,NA
"AGO 1955",NA,NA,NA,NA,327.00,NA,NA,NA
"SEP 1955",NA,NA,NA,NA,317.00,NA,NA,NA
"OCT 1955",NA,NA,NA,NA,334.00,NA,NA,NA
"NOV 1955",NA,NA,NA,NA,315.00,NA,NA,NA
"DIC 1955",NA,NA,NA,NA,340.00,NA,NA,NA
"ENE 1956",NA,NA,NA,NA,316.00,NA,NA,NA
"FEB 1956",NA,NA,NA,NA,271.00,NA,NA,NA
"MAR 1956",NA,NA,NA,NA,322.00,NA,NA,NA
"ABR 1956",NA,NA,NA,NA,314.00,NA,NA,NA
"MAY 1956",NA,NA,NA,NA,335.00,NA,NA,NA
"JUN 1956",NA,NA,NA,NA,338.00,NA,NA,NA
"JUL 1956",NA,NA,NA,NA,336.00,NA,NA,NA
"AGO 1956",NA,NA,NA,NA,354.00,NA,NA,NA
"SEP 1956",NA,NA,NA,NA,338.00,NA,NA,NA
"OCT 1956",NA,NA,NA,NA,367.00,NA,NA,NA
"NOV 1956",NA,NA,NA,NA,352.00,NA,NA,NA
"DIC 1956",NA,NA,NA,NA,356.00,NA,NA,NA
"ENE 1957",NA,NA,NA,NA,323.00,NA,NA,NA
"FEB 1957",NA,NA,NA,NA,315.00,NA,NA,NA
"MAR 1957",NA,NA,NA,NA,370.00,NA,NA,NA
"ABR 1957",NA,NA,NA,NA,370.00,NA,NA,NA
"MAY 1957",NA,NA,NA,NA,402.00,NA,NA,NA
"JUN 1957",NA,NA,NA,NA,406.00,NA,NA,NA
"JUL 1957",NA,NA,NA,NA,393.00,NA,NA,NA
"AGO 1957",NA,NA,NA,NA,394.00,NA,NA,NA
"SEP 1957",NA,NA,NA,NA,381.00,NA,NA,NA
"OCT 1957",NA,NA,NA,NA,382.00,NA,NA,NA
"NOV 1957",NA,NA,NA,NA,384.00,NA,NA,NA
"DIC 1957",NA,NA,NA,NA,390.00,NA,NA,NA
"ENE 1958",NA,NA,NA,NA,344.00,NA,NA,NA
"FEB 1958",NA,NA,NA,NA,345.00,NA,NA,NA
"MAR 1958",NA,NA,NA,NA,388.00,NA,NA,NA
"ABR 1958",NA,NA,NA,NA,398.00,NA,NA,NA
"MAY 1958",NA,NA,NA,NA,318.00,NA,NA,NA
"JUN 1958",NA,NA,NA,NA,404.00,NA,NA,NA
"JUL 1958",NA,NA,NA,NA,414.00,NA,NA,NA
"AGO 1958",NA,NA,NA,NA,424.00,NA,NA,NA
"SEP 1958",NA,NA,NA,NA,404.00,NA,NA,NA
"OCT 1958",NA,NA,NA,NA,419.00,NA,NA,NA
"NOV 1958",NA,NA,NA,NA,415.00,NA,NA,NA
"DIC 1958",NA,NA,NA,NA,436.00,NA,NA,NA
"ENE 1959",NA,NA,NA,NA,400.00,NA,NA,NA
"FEB 1959",NA,NA,NA,NA,372.00,NA,NA,NA
"MAR 1959",NA,NA,NA,NA,431.00,NA,NA,NA
"ABR 1959",NA,NA,NA,NA,425.00,NA,NA,NA
"MAY 1959",NA,NA,NA,NA,439.00,NA,NA,NA
"JUN 1959",NA,NA,NA,NA,441.00,NA,NA,NA
"JUL 1959",NA,NA,NA,NA,448.00,NA,NA,NA
"AGO 1959",NA,NA,NA,NA,463.00,NA,NA,NA
"SEP 1959",NA,NA,NA,NA,457.00,NA,NA,NA
"OCT 1959",NA,NA,NA,NA,472.00,NA,NA,NA
"NOV 1959",NA,NA,NA,NA,456.00,NA,NA,NA
"DIC 1959",NA,NA,NA,NA,415.00,NA,NA,NA
"ENE 1960",NA,NA,NA,NA,361.00,NA,NA,NA
"FEB 1960",NA,NA,NA,NA,360.00,NA,NA,NA
"MAR 1960",NA,NA,NA,NA,415.00,NA,NA,NA
"ABR 1960",NA,NA,NA,NA,420.00,NA,NA,NA
"MAY 1960",NA,NA,NA,NA,458.00,NA,NA,NA
"JUN 1960",NA,NA,NA,NA,446.00,NA,NA,NA
"JUL 1960",NA,NA,NA,NA,454.00,NA,NA,NA
"AGO 1960",NA,NA,NA,NA,471.00,NA,NA,NA
"SEP 1960",NA,NA,NA,NA,503.00,NA,NA,NA
"OCT 1960",NA,NA,NA,NA,490.00,NA,NA,NA
"NOV 1960",NA,NA,NA,NA,429.00,NA,NA,NA
"DIC 1960",NA,NA,NA,NA,407.00,NA,NA,NA
"ENE 1961",NA,NA,NA,NA,387.00,NA,NA,NA
"FEB 1961",NA,NA,NA,NA,408.00,NA,NA,NA
"MAR 1961",NA,NA,NA,NA,526.00,NA,NA,NA
"ABR 1961",NA,NA,NA,NA,520.00,NA,NA,NA
"MAY 1961",NA,NA,NA,NA,517.00,NA,NA,NA
"JUN 1961",NA,NA,NA,NA,513.00,NA,NA,NA
"JUL 1961",NA,NA,NA,NA,508.00,NA,NA,NA
"AGO 1961",NA,NA,NA,NA,529.00,NA,NA,NA
"SEP 1961",NA,NA,NA,NA,515.00,NA,NA,NA
"OCT 1961",NA,NA,NA,NA,489.00,NA,NA,NA
"NOV 1961",NA,NA,NA,NA,507.00,NA,NA,NA
"DIC 1961",NA,NA,NA,NA,511.00,NA,NA,NA
"ENE 1962",NA,NA,NA,NA,462.00,NA,NA,NA
"FEB 1962",NA,NA,NA,NA,484.00,NA,NA,NA
"MAR 1962",NA,NA,NA,NA,561.00,NA,NA,NA
"ABR 1962",NA,NA,NA,NA,563.00,NA,NA,NA
"MAY 1962",NA,NA,NA,NA,581.00,NA,NA,NA
"JUN 1962",NA,NA,NA,NA,538.00,NA,NA,NA
"JUL 1962",NA,NA,NA,NA,561.00,NA,NA,NA
"AGO 1962",NA,NA,NA,NA,574.00,NA,NA,NA
"SEP 1962",NA,NA,NA,NA,567.00,NA,NA,NA
"OCT 1962",NA,NA,NA,NA,618.00,NA,NA,NA
"NOV 1962",NA,NA,NA,NA,508.00,NA,NA,NA
"DIC 1962",NA,NA,NA,NA,545.00,NA,NA,NA
"ENE 1963",NA,NA,NA,NA,491.00,NA,NA,NA
"FEB 1963",NA,NA,NA,NA,469.00,NA,NA,NA
"MAR 1963",NA,NA,NA,NA,551.00,NA,NA,NA
"ABR 1963",NA,NA,NA,NA,590.00,NA,NA,NA
"MAY 1963",NA,NA,NA,NA,643.00,NA,NA,NA
"JUN 1963",NA,NA,NA,NA,606.00,NA,NA,NA
"JUL 1963",NA,NA,NA,NA,620.00,NA,NA,NA
"AGO 1963",NA,NA,NA,NA,630.00,NA,NA,NA
"SEP 1963",NA,NA,NA,NA,613.00,NA,NA,NA
"OCT 1963",NA,NA,NA,NA,664.00,NA,NA,NA
"NOV 1963",NA,NA,NA,NA,603.00,NA,NA,NA
"DIC 1963",NA,NA,NA,NA,643.00,NA,NA,NA
"ENE 1964",NA,NA,NA,NA,580.30,NA,NA,NA
