dates,Temperature_Deviations
1881M01,-0.55
1881M02,-0.24
1881M03,-0.32
1881M04,-0.37
1881M05,-0.15
1881M06,-0.71
1881M07,-0.63
1881M08,-0.07
1881M09,-0.05
1881M10,0.03
1881M11,-0.44
1881M12,-0.19
1882M01,-0.03
1882M02,-0.08
1882M03,0.05
1882M04,-0.41
1882M05,-0.24
1882M06,-0.78
1882M07,-0.43
1882M08,0.10
1882M09,-0.10
1882M10,-0.34
1882M11,-0.43
1882M12,-0.57
1883M01,-0.46
1883M02,-0.38
1883M03,-0.04
1883M04,-0.42
1883M05,-0.49
1883M06,0.20
1883M07,-0.12
1883M08,-0.16
1883M09,-0.52
1883M10,-0.32
1883M11,-0.59
1883M12,-0.37
1884M01,-0.52
1884M02,-0.42
1884M03,-0.53
1884M04,-0.79
1884M05,-1.17
1884M06,-0.82
1884M07,-0.76
1884M08,0.39
1884M09,-0.52
1884M10,-0.71
1884M11,-0.96
1884M12,-0.35
1885M01,-0.64
1885M02,-0.56
1885M03,-0.89
1885M04,-0.79
1885M05,-0.52
1885M06,-0.39
1885M07,-0.29
1885M08,-0.16
1885M09,-0.22
1885M10,-0.28
1885M11,-0.03
1885M12,0.01
1886M01,-0.23
1886M02,-0.57
1886M03,-0.63
1886M04,-0.35
1886M05,-0.52
1886M06,-0.66
1886M07,-0.21
1886M08,-0.23
1886M09,-0.04
1886M10,-0.50
1886M11,-0.45
1886M12,-0.36
1887M01,-0.60
1887M02,-0.70
1887M03,-0.57
1887M04,-0.72
1887M05,-0.74
1887M06,-0.44
1887M07,-0.35
1887M08,-0.16
1887M09,-0.36
1887M10,-0.56
1887M11,-0.61
1887M12,-0.48
1888M01,-0.28
1888M02,-0.53
1888M03,-0.64
1888M04,-0.19
1888M05,-0.62
1888M06,-0.26
1888M07,0.03
1888M08,0.16
1888M09,-0.09
1888M10,-0.02
1888M11,0.03
1888M12,-0.04
1889M01,-0.18
1889M02,0.33
1889M03,0.03
1889M04,0.20
1889M05,0.23
1889M06,-0.06
1889M07,-0.08
1889M08,-0.36
1889M09,-0.25
1889M10,-0.15
1889M11,-0.44
1889M12,-0.23
1890M01,-0.71
1890M02,-0.55
1890M03,-0.53
1890M04,-0.45
1890M05,-0.61
1890M06,-0.26
1890M07,-0.36
1890M08,-0.43
1890M09,-0.08
1890M10,0.00
1890M11,-0.30
1890M12,-0.07
1891M01,-0.57
1891M02,-0.81
1891M03,-0.30
1891M04,-0.55
1891M05,-0.36
1891M06,-0.35
1891M07,-0.40
1891M08,-0.26
1891M09,-0.28
1891M10,-0.36
1891M11,-0.47
1891M12,-0.19
1892M01,-0.38
1892M02,-0.23
1892M03,-0.42
1892M04,-0.56
1892M05,-0.63
1892M06,-0.30
1892M07,-0.30
1892M08,-0.31
1892M09,-0.36
1892M10,-0.27
1892M11,-0.37
1892M12,-0.50
1893M01,-1.12
1893M02,-0.92
1893M03,-0.44
1893M04,-0.32
1893M05,-0.59
1893M06,-0.47
1893M07,-0.04
1893M08,-0.21
1893M09,-0.25
1893M10,-0.22
1893M11,-0.14
1893M12,-0.34
1894M01,-0.57
1894M02,-0.42
1894M03,-0.35
1894M04,-0.55
1894M05,-0.53
1894M06,-0.57
1894M07,-0.28
1894M08,-0.25
1894M09,-0.38
1894M10,-0.12
1894M11,-0.16
1894M12,-0.20
1895M01,-0.42
1895M02,-0.60
1895M03,-0.52
1895M04,-0.25
1895M05,-0.33
1895M06,-0.16
1895M07,-0.30
1895M08,-0.08
1895M09,-0.06
1895M10,-0.18
1895M11,-0.28
1895M12,0.05
1896M01,-0.34
1896M02,-0.13
1896M03,-0.51
1896M04,-0.38
1896M05,-0.27
1896M06,-0.24
1896M07,0.12
1896M08,-0.08
1896M09,-0.06
1896M10,0.16
1896M11,-0.17
1896M12,0.08
1897M01,-0.08
1897M02,-0.09
1897M03,0.06
1897M04,0.14
1897M05,0.00
1897M06,-0.11
1897M07,-0.07
1897M08,-0.11
1897M09,-0.15
1897M10,-0.12
1897M11,-0.10
1897M12,-0.06
1898M01,-0.18
1898M02,-0.40
1898M03,-0.81
1898M04,-0.43
1898M05,-0.60
1898M06,-0.17
1898M07,-0.35
1898M08,-0.20
1898M09,-0.18
1898M10,-0.41
1898M11,-0.27
1898M12,-0.21
1899M01,-0.37
1899M02,-0.46
1899M03,-0.29
1899M04,-0.22
1899M05,-0.26
1899M06,-0.51
1899M07,-0.09
1899M08,-0.09
1899M09,-0.03
1899M10,-0.29
1899M11,0.08
1899M12,0.01
1900M01,-0.32
1900M02,0.13
1900M03,0.13
1900M04,0.07
1900M05,0.07
1900M06,0.11
1900M07,0.06
1900M08,0.00
1900M09,0.10
1900M10,0.24
1900M11,0.12
1900M12,0.01
1901M01,-0.17
1901M02,-0.06
1901M03,-0.03
1901M04,0.02
1901M05,-0.15
1901M06,0.00
1901M07,-0.11
1901M08,-0.06
1901M09,0.03
1901M10,-0.11
1901M11,-0.28
1901M12,-0.04
1902M01,-0.29
1902M02,0.17
1902M03,-0.13
1902M04,-0.08
1902M05,-0.03
1902M06,0.03
1902M07,-0.12
1902M08,-0.29
1902M09,-0.19
1902M10,-0.31
1902M11,-0.32
1902M12,-0.44
1903M01,-0.31
1903M02,-0.06
1903M03,-0.06
1903M04,-0.36
1903M05,-0.40
1903M06,-0.46
1903M07,-0.23
1903M08,-0.34
